subject,stage,window_index,FC6_mean_amp,FC6_peak_pos,FC6_peak_neg,FC6_ptp,FC6_std,FC6_auc,POZ_mean_amp,POZ_peak_pos,POZ_peak_neg,POZ_ptp,POZ_std,POZ_auc,C2_mean_amp,C2_peak_pos,C2_peak_neg,C2_ptp,C2_std,C2_auc,F6_mean_amp,F6_peak_pos,F6_peak_neg,F6_ptp,F6_std,F6_auc,PO8_mean_amp,PO8_peak_pos,PO8_peak_neg,PO8_ptp,PO8_std,PO8_auc,Fp1_mean_amp,Fp1_peak_pos,Fp1_peak_neg,Fp1_ptp,Fp1_std,Fp1_auc,P6_mean_amp,P6_peak_pos,P6_peak_neg,P6_ptp,P6_std,P6_auc,FT10_mean_amp,FT10_peak_pos,FT10_peak_neg,FT10_ptp,FT10_std,FT10_auc,CZ_mean_amp,CZ_peak_pos,CZ_peak_neg,CZ_ptp,CZ_std,CZ_auc,FT8_mean_amp,FT8_peak_pos,FT8_peak_neg,FT8_ptp,FT8_std,FT8_auc
EPCTL01,N2,0,-3.5423666756400195e-06,-2.973352920976045e-06,-4.301180988410656e-06,1.3278280674346106e-06,3.6515003420998865e-07,-1.2376770682068864e-06,1.2240109496280865e-07,9.394817854317912e-07,-1.4188907479318352e-06,2.3583725333636265e-06,6.267946712419216e-07,4.3204733882092944e-08,-1.0946867760994577e-07,1.4850999559590606e-06,-1.1833002316542576e-06,2.6684001876133184e-06,7.724580917077729e-07,-3.923015990794717e-08,-1.317010832274757e-06,-9.358593637094337e-07,-1.6121610124266077e-06,6.76301648717174e-07,1.5972919312425142e-07,-4.600331923666363e-07,-1.1433727451553887e-06,-7.16367411182332e-07,-1.8142943406478234e-06,1.0979269294654915e-06,2.582012554578552e-07,-3.9956619967822484e-07,-1.5939562098011671e-06,-5.049723897861046e-07,-3.1286221094290536e-06,2.623649719642949e-06,7.09093577127455e-07,-5.572619527971646e-07,-1.7279026362355677e-06,-2.504997716010035e-07,-4.113491196814929e-06,3.862991425213926e-06,1.1159859748782155e-06,-6.043782629164509e-07,2.2692267615105058e-07,7.262739621395712e-07,-3.1813275947441866e-07,1.0444067216139899e-06,3.0634311953091815e-07,7.94148870007841e-08,-1.9493988777407833e-07,1.4561176234476372e-06,-2.0628510518819474e-06,3.5189686753295844e-06,1.007317265344552e-06,-6.902201494361659e-08,3.960735563968916e-07,2.393009686039567e-06,-2.022083591473375e-06,4.415093277512942e-06,1.3214769556925533e-06,1.374527968188421e-07
EPCTL01,N3,0,-4.140184644472638e-06,-3.00692913512179e-06,-5.201016051347144e-06,2.1940869162253542e-06,5.798425625141111e-07,-1.4465799415003568e-06,-3.915658432072667e-07,1.209493153272506e-06,-2.3487109266155106e-06,3.558204079888017e-06,8.614537744929257e-07,-1.3685818778688044e-07,4.216898550577211e-06,6.122255520605102e-06,2.145955611225999e-06,3.976299909379103e-06,1.232920055863381e-06,1.4740960321872252e-06,-2.46565030541378e-06,-1.4547886608233789e-06,-3.8186166042014116e-06,2.363827943378033e-06,8.323304799904577e-07,-8.61028569584339e-07,-1.7063950605677556e-06,-7.319143459777136e-07,-3.122426495308033e-06,2.3905121493303193e-06,8.758287329920727e-07,-5.958099131296743e-07,-9.66874636082746e-07,3.693487107651001e-07,-2.5976658297100577e-06,2.967014540475158e-06,1.0378909522674208e-06,-3.3768240755783905e-07,1.9749367058540033e-07,2.0310113833975456e-06,-1.1934485201231524e-06,3.224459903520698e-06,9.668642840587388e-07,6.907566481193595e-08,2.887081142297533e-07,1.0565166752145052e-06,-6.665304224047942e-07,1.7230470976192994e-06,4.515609483723618e-07,1.0111098426436832e-07,2.6584865698482666e-06,3.729956757801954e-06,1.7520518353414189e-06,1.977904922460535e-06,5.013713987289881e-07,9.29400724562432e-07,4.718857784159056e-06,6.552775745691005e-06,2.4341974231795778e-06,4.118578322511427e-06,1.224039616105357e-06,1.6498907706544963e-06
EPCTL01,N3,1,-8.575077284622593e-07,1.0751999946534376e-07,-2.4395348545990053e-06,2.547054854064349e-06,6.609319499187168e-07,-2.9887644024548655e-07,8.469158241283868e-07,2.361323122938739e-06,-7.355115679915975e-07,3.0968346909303365e-06,7.669355302815951e-07,2.9564561976519397e-07,1.158576107561604e-06,2.2401278447422187e-06,-1.1543399846951871e-06,3.3944678294374056e-06,1.0055515588584609e-06,4.0443750826450695e-07,-1.1933359834229581e-06,-1.1301544005796205e-07,-2.7559582464402554e-06,2.6429428063822933e-06,6.904841569425049e-07,-4.166410789995024e-07,-2.270602088449141e-06,-1.3995315163423003e-06,-3.763669079173005e-06,2.3641375628307047e-06,6.48981267094335e-07,-7.932537100742295e-07,-3.3542110084384375e-06,-2.4058514417701796e-06,-5.296381980071958e-06,2.8905305383017785e-06,8.984249111890584e-07,-1.1717941248994374e-06,-2.7204178175197407e-06,-1.4833445586831205e-06,-4.850689503597216e-06,3.367344944914096e-06,1.0679923993978586e-06,-9.501481141949639e-07,2.2947456824038925e-07,7.301834858478973e-07,-4.035101983273345e-07,1.1336936841752319e-06,3.2498858549858895e-07,8.017420009339412e-08,-1.1452492721012923e-06,2.5392880375576075e-07,-2.8674156030252516e-06,3.1213444067810123e-06,8.801652569293812e-07,-4.001995289528698e-07,1.3293314428014522e-07,2.2642537027175585e-06,-2.4435521876408284e-06,4.707805890358387e-06,1.3364906764625027e-06,4.669087835074484e-08
EPCTL01,N3,2,-5.279907066815071e-06,-1.6230949499160796e-06,-8.743305569513204e-06,7.120210619597124e-06,1.9650068019451086e-06,-1.8450985680781534e-06,-6.376350606347265e-07,9.233644440661931e-07,-1.5892892906031833e-06,2.5126537346693765e-06,7.875460764200309e-07,-2.2322114088150397e-07,1.9707515537647456e-06,5.381357478450606e-06,-8.119548008992422e-07,6.193312279349848e-06,2.060018003992144e-06,6.887470420558408e-07,-2.1906563805653867e-06,-3.96294551382644e-07,-5.157341388899247e-06,4.761046837516603e-06,1.479666383681413e-06,-7.63776336576639e-07,-1.1692423315807939e-06,3.808679080777245e-07,-3.040159270465678e-06,3.4210271785434026e-06,1.1764375006910238e-06,-4.0695570894001496e-07,-5.948144954717465e-07,1.1513570778290235e-06,-2.1889046873375834e-06,3.340261765166607e-06,1.1809954761314444e-06,-2.0629242252970727e-07,6.632490364421834e-07,2.871546108011959e-06,-1.0598827909217248e-06,3.931428898933684e-06,1.2935511623350226e-06,2.3319268603619183e-07,-2.914793997608643e-07,8.325580509007256e-07,-1.703753802584607e-06,2.5363118534853324e-06,6.110825134013226e-07,-1.017145777689619e-07,8.322661740697794e-07,2.9827674285358225e-06,-1.8603923154956375e-06,4.84315974403146e-06,1.8983213825276017e-06,2.9167079452699323e-07,1.682475892557333e-06,4.602010424313443e-06,-1.845449725792554e-06,6.447460150105996e-06,2.4010414174946916e-06,5.892309526354655e-07
EPCTL01,N3,3,8.829473551958514e-07,3.4693009340259643e-06,-3.909747567493448e-06,7.379048501519412e-06,1.9011812913538064e-06,3.099835352012479e-07,-2.346973152387431e-07,1.4129104920199948e-06,-2.0851252192505153e-06,3.49803571127051e-06,8.714431648505588e-07,-8.191034089606512e-08,-1.1642849948721047e-06,9.430363313696224e-07,-4.694267829902404e-06,5.637304161272026e-06,1.7427606277260975e-06,-4.07807402476644e-07,-3.029421509607432e-07,2.5208938750181335e-06,-3.5195913076608717e-06,6.040485182679005e-06,2.0527001752199835e-06,-1.0516287123180047e-07,-4.2085416672966185e-07,1.1697845754831212e-06,-2.2849013103330447e-06,3.454685885816166e-06,1.1620700478796585e-06,-1.4654104185701682e-07,2.693091426987076e-07,1.3816858123707754e-06,-2.1467666026331212e-06,3.5284524150038964e-06,1.0019384320736541e-06,9.517282595260336e-08,1.337048651337979e-06,3.1811111445936334e-06,-2.5461143349469263e-06,5.727225479540559e-06,1.4946609020539114e-06,4.688614293898756e-07,3.0257364151062964e-07,1.4201783555696321e-06,-9.852186098881915e-07,2.4053969654578236e-06,5.647139757345996e-07,1.0581556411101825e-07,-2.624894505904059e-07,2.460999312582162e-06,-2.9280187612569927e-06,5.389018073839155e-06,1.7633775326675678e-06,-9.193984405920226e-08,-2.3610526744437288e-07,3.7294011236038512e-06,-3.5766481262026633e-06,7.3060492498065145e-06,2.512270461621013e-06,-8.2421948286276e-08
EPCTL01,W,0,-7.873083640328554e-07,1.7073226781031464e-06,-2.8729280205294516e-06,4.580250698632598e-06,1.3437217909455797e-06,-2.757254532498785e-07,-7.392035149363175e-08,5.93236824740162e-07,-1.1059336842703474e-06,1.6991705090105094e-06,4.282146703132353e-07,-2.5519380728808503e-08,-2.258421135871067e-09,1.0148911260082086e-06,-1.3656042897880122e-06,2.3804954157962206e-06,5.738371069509587e-07,-1.0044500294009154e-09,2.699948186041242e-07,8.287363129099578e-07,-7.506663411092959e-07,1.5794026540192537e-06,3.3996028073998724e-07,9.414710738690056e-08,9.411571867258632e-07,2.1166984601695234e-06,-4.300203179736911e-07,2.5467187781432145e-06,5.899372039993962e-07,3.286886170411353e-07,-3.7915611069828585e-07,6.442894643734323e-07,-1.8445809080100486e-06,2.488870372383481e-06,7.25959119382308e-07,-1.328023665521193e-07,-4.595123325505014e-07,6.601062357339538e-07,-2.201127904084491e-06,2.861234139818445e-06,8.681609035049397e-07,-1.6114567654482188e-07,1.1977527548988115e-07,7.782884569503493e-07,-7.443706825349405e-07,1.5226591394852897e-06,3.7380987890548147e-07,4.2053523864262495e-08,2.273964316662766e-07,1.175298272016423e-06,-1.0450507462359612e-06,2.220349018252384e-06,5.746713670221332e-07,7.933972697664621e-08,5.791580737035467e-07,1.8853531098225018e-06,-9.04423935317628e-07,2.7897770451401298e-06,7.87838364915042e-07,2.024542163302331e-07
EPCTL01,W,1,1.5390348820326022e-06,4.140108105829267e-06,-1.722426934154252e-06,5.862535039983519e-06,1.9765423728154323e-06,5.383314199228277e-07,1.4041011176624186e-07,1.2277842444595136e-06,-8.622710013937003e-07,2.090055245853214e-06,4.395487971528826e-07,4.9406584987623635e-08,-4.823214059997395e-07,8.360885634417153e-07,-1.9214775336253838e-06,2.7575660970670992e-06,6.314687812195775e-07,-1.6887308388975333e-07,1.4668221457311695e-06,3.4990204097105604e-06,-9.162583909977182e-07,4.415278800708279e-06,1.171848431866044e-06,5.130410471082629e-07,1.2063741847238468e-06,2.76295320553632e-06,-1.8476882344220252e-07,2.9477220289785226e-06,7.557115112060396e-07,4.2165424827199443e-07,-2.3312056940156361e-07,2.0943933487495643e-06,-2.5683554555143977e-06,4.6627488042639616e-06,1.0737310270496929e-06,-8.141372340933263e-08,-4.227140899107097e-07,1.5856659010744159e-06,-2.4296928346880557e-06,4.015358735762472e-06,1.1621805870028823e-06,-1.4781197971794923e-07,5.156063049850559e-08,8.940981915558292e-07,-8.640830046790322e-07,1.7581811962348614e-06,4.0527471003150424e-07,1.8395949396567758e-08,-6.321815812191254e-07,1.5078722120326826e-07,-1.420146098167444e-06,1.5709333193707121e-06,3.9353065937944054e-07,-2.207321457244089e-07,-4.631003822491634e-07,8.626139944453283e-07,-2.0951509974082626e-06,2.9577649918535907e-06,5.818885649808676e-07,-1.6175968511673216e-07
EPCTL01,N2,0,-1.7162267476493798e-06,-4.451975975930631e-07,-2.8396631139091463e-06,2.3944655163160834e-06,5.783122840359403e-07,-6.0020765141818e-07,-5.65014600788267e-07,7.640352760775572e-07,-1.866941737811713e-06,2.63097701388927e-06,8.155212529174052e-07,-1.9739798412146527e-07,2.322941684038387e-06,3.7099538213921993e-06,1.2474895487012962e-06,2.4624642726909033e-06,6.48234776967678e-07,8.114736813844724e-07,-1.6859751948569261e-06,1.8733254636194e-08,-3.3685554529558746e-06,3.3872887075920684e-06,1.1798048049956493e-06,-5.888560131092084e-07,-1.2666892512302879e-06,5.144015804640722e-07,-2.9594153100184783e-06,3.4738168904825506e-06,1.2072224713852917e-06,-4.4233567456669644e-07,-5.013580368776255e-07,1.8850747025995662e-06,-2.969581227371024e-06,4.85465592997059e-06,1.5975937929750653e-06,-1.7514179972626456e-07,3.0284806530287496e-07,3.3546434867279346e-06,-2.9327000786042343e-06,6.2873435653321685e-06,2.054768603704892e-06,1.0576464765620064e-07,-3.4134091987775797e-07,2.3503595587611575e-07,-1.7288650300524238e-06,1.9639009859285396e-06,5.358351404247352e-07,-1.1885368663739444e-07,1.9015979904863257e-06,3.87342901457244e-06,-2.6914847730100506e-08,3.9003438623025405e-06,1.238691106782027e-06,6.646252932862131e-07,4.117317857619005e-06,6.552333205035599e-06,1.6529658382491548e-06,4.899367366786444e-06,1.9112806437907082e-06,1.4391849102835564e-06
EPCTL01,N3,0,4.3823170312659803e-07,1.850962013227177e-06,-5.919108163597831e-07,2.4428728295869603e-06,7.506195481452656e-07,1.5349966438621832e-07,-2.4724128821071045e-06,4.6106855098240106e-07,-4.71703300143679e-06,5.178101552419191e-06,1.2928836758614201e-06,-8.643687164524871e-07,7.06189594898919e-07,1.3254717764464058e-06,-8.105391796853126e-08,1.4065256944149371e-06,4.032880148100617e-07,2.4692470692592577e-07,8.176794743300329e-07,1.8987135332806807e-06,-5.82790473416332e-07,2.4815040066970126e-06,7.651728445904627e-07,2.8561564867571564e-07,4.308296825939205e-07,1.2904573873438165e-06,-6.33718077038295e-07,1.9241754643821115e-06,5.175420260362121e-07,1.505557538955713e-07,1.0801805998907524e-06,2.507858458085808e-06,8.960110847811891e-08,2.418257349607689e-06,6.139105563175409e-07,3.776364964152042e-07,1.5513179637982897e-06,3.553741570013777e-06,3.19810609283093e-07,3.2339309607306842e-06,9.543284799221152e-07,5.424128905314422e-07,-1.4121327455121552e-06,2.4418741282582737e-07,-2.6327963114236756e-06,2.876983724249503e-06,6.696374512260535e-07,-4.936908931167516e-07,5.725115284028404e-07,1.3290296401704642e-06,-4.850779589271181e-07,1.8141075990975823e-06,5.812288715336294e-07,2.000249720080803e-07,1.8437808481166678e-06,3.5549345082646744e-06,-4.876838170817449e-07,4.042618325346419e-06,1.2493082426299004e-06,6.446208392871283e-07
EPCTL01,N3,0,-2.1209274550512816e-06,6.127841567895802e-08,-4.719397898236485e-06,4.7806763139154425e-06,1.2033632919771786e-06,-7.400153505032198e-07,-1.022779511496876e-06,1.3377100400595976e-06,-2.7001406120592145e-06,4.037850652118812e-06,1.1680823197603643e-06,-3.5802164614010715e-07,9.758416085013374e-08,1.9595224691090577e-06,-2.376625021773961e-06,4.336147490883019e-06,1.2589648976940647e-06,3.318384839318194e-08,-1.942069134819163e-06,-8.928376002999369e-07,-3.377641416291972e-06,2.484803815992035e-06,7.789927262738291e-07,-6.77490192638518e-07,-1.3585998750892375e-06,-4.797700001310823e-07,-2.6449803301432025e-06,2.1652103300121202e-06,6.350147878333115e-07,-4.738096554314737e-07,-1.0744666871626485e-06,5.629851874296075e-07,-2.91320869178929e-06,3.4761938792188977e-06,1.191611186089964e-06,-3.74481399539671e-07,-5.948594028729413e-07,2.1046528056532404e-06,-3.5746780129597194e-06,5.679330818612959e-06,1.9722710707691805e-06,-2.0680998193297576e-07,-3.8102983418077266e-07,9.577757188928832e-07,-1.505307811521762e-06,2.463083530414645e-06,7.442925542789866e-07,-1.333275614054583e-07,2.994288853922534e-07,1.7589524207501148e-06,-1.6893018248753238e-06,3.4482542456254386e-06,1.2132771927752725e-06,1.0445436561534566e-07,1.5953154690430234e-06,4.28497039754673e-06,-1.84918860199031e-06,6.13415899953704e-06,2.297056415278368e-06,5.576693585548547e-07
EPCTL01,N3,1,-1.2710515213974251e-06,1.5775998166377981e-06,-4.988523645354955e-06,6.566123461992753e-06,2.125767336020339e-06,-4.4339162395692516e-07,8.272538462396331e-08,1.8274823581987635e-06,-1.5842168152245454e-06,3.411699173423309e-06,1.161785829494528e-06,2.8887096072940088e-08,1.8332732377534086e-06,3.432681666300567e-06,-4.7574161171984133e-07,3.908423278020408e-06,9.8181674570961e-07,6.40736259776164e-07,-3.8322906093076284e-07,3.199680062184924e-06,-5.441221485547268e-06,8.640901547732192e-06,2.9134491871316045e-06,-1.3233077289787162e-07,-3.220261025724003e-07,2.8684360323350174e-06,-4.221161410715867e-06,7.089597443050885e-06,2.428870975867957e-06,-1.1136070677022806e-07,5.8880524119425554e-08,3.9014292566903275e-06,-4.107045608596511e-06,8.008474865286838e-06,2.8442323338743905e-06,2.1987607254755378e-08,9.088060582811801e-07,5.6097797621150585e-06,-4.0702396664802085e-06,9.680019428595267e-06,3.510095498618914e-06,3.190421185993108e-07,1.362224680128297e-07,1.1599229186709492e-06,-1.2829344156404059e-06,2.4428573343113553e-06,6.112569225978508e-07,4.779911845103878e-08,8.695939061756129e-07,2.6190794054422323e-06,-1.073467060326366e-06,3.6925464657685982e-06,1.3128047274255585e-06,3.0450318299634284e-07,2.6967662510309457e-06,5.557699635955903e-06,-4.3840448703178457e-07,5.996104122987687e-06,2.2556191320502163e-06,9.434871205871591e-07
EPCTL01,N2,0,1.2205383039514572e-06,2.826414089144321e-06,-1.9927056584134562e-07,3.025684654985667e-06,7.930618360387011e-07,4.263274998786327e-07,-1.1665278205593847e-06,7.542354312593625e-08,-2.971677771930076e-06,3.047101315056012e-06,8.307087763552596e-07,-4.071653481632412e-07,-7.863718932641063e-07,4.0393894771094963e-07,-2.4106685655084763e-06,2.8146075132194257e-06,7.397117374464297e-07,-2.748023415204142e-07,4.929595397615039e-07,1.7197902047736569e-06,-3.700046992215273e-07,2.0897949039951842e-06,4.3085928465409454e-07,1.7236577801721233e-07,9.248576448745682e-08,1.299285756793839e-06,-8.759015016756077e-07,2.175187258469447e-06,4.3140508163928654e-07,3.243501547904942e-08,6.415582466973219e-07,2.207503138751635e-06,-9.402845509799396e-07,3.147787689731574e-06,8.011028569875291e-07,2.242466998986217e-07,1.145278951733702e-06,3.474639561477417e-06,-1.3693334387781998e-06,4.843973000255617e-06,1.3826995245582632e-06,4.0021095353741506e-07,-4.0749250972992625e-07,1.704273151855075e-07,-1.3337569749238716e-06,1.504184290109379e-06,4.214536853747026e-07,-1.4203150952099634e-07,-9.5923384523063e-07,1.3915687725699544e-07,-2.119574317053635e-06,2.2587311943106302e-06,7.588610825076589e-07,-3.3552562199212904e-07,-9.63207963023984e-07,1.3321137003282073e-06,-3.6054484383272342e-06,4.937562138655441e-06,1.713107901835939e-06,-3.368041750939223e-07
EPCTL01,R,0,-1.2656961208455764e-06,2.2603058240047746e-07,-3.046936694537612e-06,3.2729672769380895e-06,9.908357270928638e-07,-4.4277962042109766e-07,-7.126165973606342e-07,3.130028974536006e-07,-1.8491133107509004e-06,2.1621162082045012e-06,5.786152906554951e-07,-2.486420854889751e-07,-4.762286321896862e-08,6.177827605035161e-07,-9.343748370523745e-07,1.5521575975558905e-06,5.20518229222572e-07,-1.7165056196395944e-08,-7.848457666027986e-07,1.9281086809699985e-07,-1.5748704539034877e-06,1.7676813220004875e-06,5.145522147708854e-07,-2.74169851336505e-07,-7.77014759525998e-07,-5.959008800229651e-08,-1.4298912113981443e-06,1.3703011233958477e-06,3.863318811263271e-07,-2.7143649287727587e-07,-7.504877344458914e-07,3.849620553694821e-07,-2.0426977899847273e-06,2.4276598453542093e-06,8.155847167421675e-07,-2.624123107678731e-07,-7.132194422972831e-07,7.624418657841481e-07,-2.513596133503742e-06,3.2760379992878903e-06,1.163409702758825e-06,-2.4974994382257876e-07,-1.4247866524092422e-07,5.263924218071278e-07,-8.90265367895613e-07,1.4166577897027409e-06,3.303741155549785e-07,-4.945044832325352e-08,-1.3461352632848178e-07,8.941307108614929e-07,-1.416598610861998e-06,2.310729321723491e-06,6.890931657310011e-07,-4.7199444185640155e-08,4.094313969993756e-07,2.3953366834144383e-06,-1.3509949603809804e-06,3.7463316437954187e-06,1.1876774844048334e-06,1.4303351550366815e-07
EPCTL01,R,0,-1.4018712594207046e-06,6.013821109947471e-09,-2.9903980643031454e-06,2.996411885413093e-06,9.590504769230912e-07,-4.901425386993633e-07,-3.105949803836539e-07,5.726066343962604e-07,-1.7539648203432882e-06,2.3265714547395486e-06,6.654685462837651e-07,-1.0834519934612371e-07,3.712998636792312e-07,1.470094854977167e-06,-3.1190873880157626e-07,1.7820035937787433e-06,5.089797949164328e-07,1.2930882858521927e-07,-9.672693766515724e-07,-3.920831587574073e-08,-1.87998089541617e-06,1.8407725795404292e-06,6.618432933772824e-07,-3.380586056968104e-07,-1.0072799312506127e-06,-2.7649887013716973e-07,-1.6255426117791554e-06,1.3490437416419856e-06,4.5276989047128995e-07,-3.520882163971917e-07,-1.1669495229459167e-06,-5.5841046995874065e-08,-2.3635695882723926e-06,2.3077285412765186e-06,7.532686921380422e-07,-4.0804637219742255e-07,-1.479662328934192e-06,-2.592502436982011e-08,-3.1924422627105043e-06,3.166517238340684e-06,1.022235601793524e-06,-5.175277189553648e-07,3.445046349589745e-08,6.046250865396451e-07,-7.459281535180203e-07,1.3505532400576654e-06,3.805354624650428e-07,1.2218054758904633e-08,-3.1722650805262825e-07,6.757740264619786e-07,-1.5655444495643961e-06,2.2413184760263746e-06,6.414210182415091e-07,-1.1091575137202739e-07,5.2402947140512366e-08,1.5962234144546205e-06,-1.6275713967075017e-06,3.2237948111621224e-06,1.0308083993224564e-06,1.8169680772746874e-08
EPCTL01,R,1,-1.7912538687295944e-06,-7.440934899636405e-07,-2.8662122977268676e-06,2.122118807763227e-06,5.543941638359543e-07,-6.25903308937679e-07,-1.57360272481178e-07,8.325020356032471e-07,-1.1787724088091673e-06,2.011274444412414e-06,5.673460533222053e-07,-5.484109665231673e-08,-1.434226960493318e-07,5.142630918399464e-07,-1.29329417399515e-06,1.8075572658350963e-06,4.914682374115002e-07,-4.99900151679293e-08,-1.2824120588158127e-06,-8.49739340494523e-07,-1.92314383564245e-06,1.0734044951479272e-06,3.1054179086528096e-07,-4.479476565187939e-07,-1.241636388416841e-06,-7.740287257412879e-07,-1.7198516605116818e-06,9.458229347703939e-07,2.5662067556099955e-07,-4.337714391335013e-07,-1.197633882619238e-06,-3.0534831394228015e-07,-2.2560079448025664e-06,1.950659630860286e-06,5.687907674187906e-07,-4.18462331949126e-07,-1.334143199056303e-06,2.617150331178753e-08,-3.0096571717638195e-06,3.035828675075607e-06,9.428624915185506e-07,-4.6625778613697037e-07,3.867521261936047e-09,6.888838986457626e-07,-7.601772882316185e-07,1.4490611868773811e-06,3.7687223694589474e-07,1.5740765000209386e-09,-4.643478546336338e-07,5.223813836176951e-07,-1.479954525518338e-06,2.002335909136033e-06,5.918379441733389e-07,-1.6216543625031834e-07,3.5274208681951874e-07,2.0376873326590448e-06,-1.0996471405819437e-06,3.1373344732409885e-06,1.045653739286562e-06,1.235362320170388e-07
