window_id,start_time,end_time,frac_W,frac_N1,frac_N2,frac_N3,frac_R,is_W,is_N1,is_N2,is_N3,is_R,trans_W_N1,trans_W_N2,trans_W_N3,trans_W_R,trans_N1_W,trans_N1_N2,trans_N1_N3,trans_N1_R,trans_N2_W,trans_N2_N1,trans_N2_N3,trans_N2_R,trans_N3_W,trans_N3_N1,trans_N3_N2,trans_N3_R,trans_R_W,trans_R_N1,trans_R_N2,trans_R_N3,SDNN,RMSSD,LF,HF,LF/HF
0,0,300,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806.2428344348803,692.409052425046,0.018329666337566754,0.02922088540846303,0.6272796351426801
1,300,600,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.95455155767743,67.41354790157511,0.004747408918011404,0.002939237705730414,1.6151837290178104
2,600,900,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.61935780159896,62.00787200408145,0.0003268822148632955,0.0002790960302737333,1.1712177150735332
3,900,1200,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.38463789990868,61.06265190462683,7.32074587811279e-05,0.00010704035376011885,0.6839239241042528
4,1200,1500,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.41618966021052,61.4920740241101,0.00647256957821178,0.00034587124499410685,18.713812356161792
5,1500,1800,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.26474234466754,63.94926440159742,0.0004634088232800573,0.00011400282338166784,4.064889004797889
6,1800,2100,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.14847283718553,55.92957933971744,0.0006172316267672719,0.00031795853932011116,1.9412330553760078
7,2100,2400,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.66126926502174,67.49635156867397,0.0014161546903971207,0.0006452116606088077,2.194868408083121
8,2400,2700,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.86100865022273,69.32750487072643,0.0005865729748506727,0.0008756529336416905,0.6698692510641359
9,2700,3000,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.55146852798513,63.70232892885326,0.00021400724106174131,0.0001788751907302441,1.1964053829269075
10,3000,3300,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.08541112611137,61.39915860603402,0.0008554591548906214,0.0003442198366552221,2.4852116693886748
11,3300,3600,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.76306688023901,46.97892659455117,0.0007767313067270456,0.0003115567830004684,2.493064985607705
12,3600,3900,0.5,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.69857472100543,50.0052073965893,0.00015258970918670688,0.00021787698956983017,0.7003479784073364
13,3900,4200,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.28441123789729,78.59842530267252,0.005400530977965664,0.0019027602097066846,2.838261463749113
14,4200,4500,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.6952033527357,64.1027901254251,0.003053409941260121,0.004421928309031253,0.6905154782866789
15,4500,4800,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8532553575628,46.074499799550495,6.490344856043238e-05,8.580082765872576e-05,0.7564431524901711
16,4800,5100,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.24307789923768,51.31103918728333,0.001686501012082074,0.0003827780343404298,4.405950344011008
17,5100,5400,0.9,0.1,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.749632264810316,50.42512601205053,0.0012181562591567407,0.0003720313902501043,3.274337303467363
18,5400,5700,0.8,0.2,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.15792144004666,51.009802979378655,0.0002889167194842586,0.0010601250491187805,0.2725307922158976
19,5700,6000,0.0,0.6,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.737997265334855,64.72479660668834,0.00032187977399326603,0.0007625816651543888,0.4220922016635421
20,6000,6300,0.5,0.4,0.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.87000038407905,69.6856621068971,0.0033303825125562984,0.004868139773922392,0.6841180958682538
21,6300,6600,0.6,0.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.94525431881132,56.32854016269041,0.0013030562045427733,0.0013912911385733024,0.9365805390516542
22,6600,6900,0.4,0.3,0.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.83406770638706,64.31416534793549,0.0035258241647206684,0.005098996093929724,0.6914741842846492
23,6900,7200,0.8,0.2,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.24296278999847,59.35742020446923,0.0019995293715332676,0.0005318541149438295,3.7595447987545287
24,7200,7500,0.1,0.5,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.58251875123585,70.28956377583448,0.002879927388348391,0.0024803276377876374,1.1611076474224116
25,7500,7800,0.0,0.1,0.9,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110.59964256185312,83.3218658776653,0.0017997901732410297,0.004114952886594222,0.4373780752397975
26,7800,8100,0.0,0.0,0.3,0.7,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.370137863386915,71.52701566945996,0.0008245459425599984,0.000683170276043228,1.206940599546554
27,8100,8400,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,64.01607166653669,72.36084283008883,0.00047394052226274494,0.0005215390149837628,0.9087345503336892
28,8400,8700,0.0,0.0,0.8,0.2,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.2406548876163,77.53954335003127,0.0020588933506852274,0.005525243472405272,0.37263395920341974
29,8700,9000,0.0,0.0,0.6,0.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.81425681628349,83.37847600081189,0.002798755037007634,0.0024600407033053113,1.137686475368975
30,9000,9300,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.15510638421628,76.7624898859052,0.00021552686033799216,0.0007108197839585735,0.3032088655970119
31,9300,9600,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.14998627877456,83.85009382987984,0.0006909628915514427,0.0005959930361416269,1.1593472568482295
32,9600,9900,0.1,0.3,0.3,0.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.49996257750054,81.63293136885554,0.0035281155690559726,0.0029937489392397034,1.17849413583491
33,9900,10200,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.67865417492189,89.68191653740811,0.0026561056541204737,0.00499374233549319,0.5318868046599269
34,10200,10500,0.1,0.2,0.7,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.6918315132902,78.86189562495865,0.0055744920115903315,0.0029627095012870405,1.8815520081090291
35,10500,10800,0.0,0.1,0.9,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.293957366288,77.39842846343907,0.0024285884902762555,0.002549033561563417,0.9527487306941193
36,10800,11100,0.0,0.0,0.8,0.2,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62.58540039024062,78.21115732492684,0.0010307037235545184,0.0006497280804876869,1.5863616711484452
37,11100,11400,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52.93694653464593,69.99118372521946,0.0005896370263823257,0.0003581731780723286,1.6462344543936114
38,11400,11700,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,86.57408496809701,79.64406931968502,0.0008423500431034541,0.0015886923660926927,0.5302159568974142
39,11700,12000,0.0,0.0,0.3,0.7,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.60523567648164,87.04707032862498,0.0002582104143088524,0.0004269362483085728,0.6047985274893501
40,12000,12300,0.1,0.0,0.2,0.7,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,118.62206715043338,76.94290184879152,0.00028779836484733634,0.00048224712679321557,0.5967860643589534
41,12300,12600,0.0,0.1,0.9,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.83775918297401,78.70276361094851,0.0020885676852211723,0.0028846935563987377,0.7240171770025194
42,12600,12900,0.0,0.2,0.8,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.71015033705504,80.86793935946001,0.0009161363712923251,0.0014506241414547277,0.6315463427856627
43,12900,13200,0.1,0.1,0.8,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.21929083443715,80.80327762594338,0.0012061881705978056,0.002328247818187296,0.5180669176088427
44,13200,13500,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72.62255357450158,79.72406114790381,0.0014113290234488082,0.00197819446561677,0.7134430148194647
45,13500,13800,0.0,0.0,0.2,0.0,0.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.74462207188998,47.14471509156417,0.0006785523863925558,0.0002514800131988571,2.6982358469020453
46,13800,14100,0.1,0.4,0.0,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.4743657190914,44.490856428361106,0.0008052582758236992,0.0007530575541301819,1.0693183693692732
47,14100,14400,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.138994171082125,44.43145109216837,0.0002624478446065219,0.0011402471781693717,0.2301675019515269
48,14400,14700,0.0,0.4,0.0,0.0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.85535867466709,43.395897817415765,0.00014483558805044602,0.0002745974470553882,0.5274469577323917
49,14700,15000,0.0,0.4,0.0,0.0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.56200081850132,50.76115093692814,0.00022288353068327185,0.0003967539116349055,0.5617676956601001
50,15000,15300,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.79585686727411,64.05811186818508,0.0003508353560428807,0.0006705269580204016,0.5232233422480922
51,15300,15600,0.0,0.1,0.0,0.0,0.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.29546328401489,68.54702573293818,0.0021439968086447306,0.0013984215345769079,1.5331548861576967
52,15600,15900,0.0,0.4,0.0,0.0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.877361008076555,71.68722029745153,0.00044908710516200755,0.0004765229319303426,0.9424249602066463
53,15900,16200,0.0,0.4,0.4,0.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.60506872801935,70.8320630747196,0.0012992978017147534,0.0007135818759469633,1.8208111017260804
54,16200,16500,0.0,0.2,0.8,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.766573534573,91.76400357964634,0.00407052692094828,0.006314385902361599,0.6446433562804407
55,16500,16800,0.4,0.2,0.4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.89715581739354,72.62387536298665,0.008366255883288374,0.0026935797587560703,3.1059989428907864
56,16800,17100,0.0,0.3,0.7,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.9923113119834,84.73271254831891,0.003074613771575211,0.0028411212331524585,1.0821832365680761
57,17100,17400,0.1,0.3,0.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.63546153140317,80.94009447130394,0.0019659703745538047,0.005167375395421128,0.38045820636446775
58,17400,17700,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.72951443542782,81.31125944545695,0.0005201111340350668,0.00040438531269242366,1.2861771130413542
59,17700,18000,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.96082573472653,80.41667168722039,0.0005619627015989669,0.000681891638818409,0.8241231738414383
60,18000,18300,0.0,0.0,0.7,0.3,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60.0382261077291,79.79297732732218,0.00027999780343516473,0.0006208366071107992,0.4510007951016236
61,18300,18600,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.86530441235878,89.72473214813672,0.0011754442994393144,0.00037169398619433906,3.162397948576808
62,18600,18900,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.80708734289941,82.76945244519476,0.000387535646312782,0.00025975218872149365,1.4919437184350266
63,18900,19200,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.47476465336386,90.02601141293289,0.0005158625122835296,0.0005356200585936361,0.9631127587678784
64,19200,19500,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.753325903714284,81.05056167826703,0.00041264997041066503,0.0005481904194991476,0.7527493289424527
65,19500,19800,0.0,0.0,0.1,0.9,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.31036220083182,90.3277906079807,0.0009781753884293236,0.0007164587153702938,1.3652920502526993
66,19800,20100,0.1,0.4,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.65599591929183,135.0247034534378,0.007169273463076705,0.003330088970936067,2.1528774533196535
67,20100,20400,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.42311684187075,117.97569929886419,0.0008004566818419394,0.0014748165520063533,0.5427499988069643
68,20400,20700,0.0,0.1,0.9,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.33825749839637,111.61367374673551,0.0006589704206939631,0.0006878403796707797,0.9580281125824066
69,20700,21000,0.0,0.0,0.6,0.0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.02853267912428,99.65977439261741,0.0006664056606639437,0.0016571713772855288,0.4021344260456188
70,21000,21300,0.1,0.5,0.0,0.0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.14464102775588,120.198447022712,0.007993268561251052,0.0030770329462240452,2.5977195242774127
71,21300,21600,0.0,0.6,0.0,0.0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.43215430854929,91.91798359856078,0.004277241200438678,0.004151446196615774,1.0303014896171487
72,21600,21900,0.5,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.65207307685066,88.7663465829907,0.014032682575031794,0.011389348358170176,1.2320882752669002
73,21900,22200,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.20821545428142,73.46716008600004,0.006679132603908375,0.0010959918240790968,6.094144552146173
74,22200,22500,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.90592019548257,80.45557780519798,0.00698652458999145,0.0037000572736161485,1.8882206607476006
75,22500,22800,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.12652681448743,70.11314956189402,0.0013586260137235233,0.001937494338212988,0.701228378802194
76,22800,23100,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.70561723404658,84.42694528996488,0.0003303840627781327,0.000725161632521531,0.45560058332005476
